ID,Age,Economic Status,Profession,Average Pokemon Level,Criminal Record,Win Ratio,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Charity Participation,Team Rocket,Debt
936,66,Low,Underground Battler,56,0,77,0,Aggressive,11,0,1,0,0
937,58,Middle,Gym Leader Assistant,22,0,63,0,Defensive,8,0,1,1,1
938,55,High,Biker,94,0,63,0,Aggressive,1,0,1,0,0
939,48,Middle,PokéMart Seller,17,0,24,0,Aggressive,8,0,1,0,0
940,66,Middle,Police Officer,45,0,50,0,Aggressive,3,0,1,0,0
941,25,Middle,Daycare Worker,55,0,75,0,Defensive,16,0,1,0,0
942,51,Low,PokéMart Seller,41,0,60,0,Defensive,11,0,1,0,0
943,45,Middle,Gym Leader Assistant,7,0,60,0,Unpredictable,11,0,1,0,0
944,21,Low,Casino Worker,42,0,73,0,Aggressive,1,0,1,0,0
945,57,Low,Gym Leader Assistant,56,0,43,0,Defensive,12,0,1,0,0
946,35,Middle,Rocket Grunt,27,0,25,0,Aggressive,6,0,1,0,0
947,14,Low,Underground Battler,8,0,47,0,Unpredictable,5,0,1,0,0
948,48,Middle,Gym Leader Assistant,70,0,39,0,Unpredictable,17,1,1,1,0
949,13,Low,Gym Leader Assistant,25,0,62,0,Aggressive,24,0,1,0,0
950,67,Middle,Black Market Dealer,90,0,44,0,Unpredictable,19,0,1,0,0
951,35,Low,Researcher,53,0,60,0,Unpredictable,22,1,1,1,1
952,24,Middle,Elite Trainer,71,0,75,0,Defensive,14,0,1,0,0
953,30,Middle,Biker,8,0,66,0,Aggressive,9,0,1,0,0
954,63,Low,Underground Battler,52,0,44,0,Aggressive,5,0,1,0,0
955,64,Low,Champion,66,0,25,0,Aggressive,3,0,1,0,0
956,20,Middle,Scientist,62,0,74,0,Defensive,15,0,1,0,0
957,29,High,Breeder,51,1,42,0,Aggressive,23,0,0,1,1
958,65,Middle,Breeder,40,0,59,0,Defensive,15,0,1,0,0
959,37,Low,PokéMart Seller,78,0,66,0,Defensive,8,0,1,0,0
960,41,Middle,Champion,56,0,74,0,Defensive,8,0,1,0,0
961,19,High,Elite Trainer,64,0,62,1,Aggressive,20,0,0,1,0
962,56,Middle,Fisherman,59,0,35,0,Aggressive,9,0,1,0,0
963,49,Middle,PokéMart Seller,23,0,61,0,Aggressive,10,0,1,0,0
964,53,Middle,Casino Worker,43,0,56,0,Aggressive,25,0,0,1,0
965,51,High,Police Officer,42,0,22,0,Defensive,17,0,1,0,0
966,67,Middle,Police Officer,54,0,37,0,Aggressive,13,0,1,0,0
967,65,Low,Daycare Worker,67,1,43,0,Defensive,30,0,1,1,1
968,21,Middle,Gym Leader Assistant,30,0,32,0,Aggressive,11,0,1,1,0
969,52,Low,Researcher,61,0,68,0,Unpredictable,10,1,0,1,1
970,29,Middle,Fisherman,14,1,66,0,Defensive,18,0,0,1,1
971,58,Middle,Biker,53,0,39,0,Aggressive,23,0,1,0,0
972,35,Middle,Elite Trainer,47,0,73,0,Defensive,25,0,1,0,0
973,27,Low,Rocket Grunt,44,0,87,0,Aggressive,5,1,0,1,1
974,65,Middle,Nurse,60,0,75,0,Aggressive,17,0,1,0,0
975,69,Low,Scientist,85,0,42,0,Defensive,3,0,1,0,0
976,57,Low,Champion,100,1,66,0,Aggressive,9,1,0,1,1
977,57,Middle,Scientist,23,0,34,0,Defensive,15,0,1,0,0
978,34,Middle,Champion,69,0,47,0,Defensive,4,0,0,1,1
979,59,Middle,Nurse,99,0,80,0,Aggressive,13,0,1,0,0
980,70,Low,Casino Worker,61,0,79,0,Aggressive,14,0,1,0,0
981,64,Middle,Researcher,13,0,43,0,Defensive,2,0,1,0,0
982,47,Low,Champion,87,0,45,0,Unpredictable,18,0,1,0,0
983,17,Low,Champion,35,0,28,0,Unpredictable,13,0,1,0,0
984,54,Middle,Gym Leader Assistant,5,0,61,0,Aggressive,19,0,1,0,0
985,29,High,PokéMart Seller,10,0,37,0,Defensive,10,0,1,0,0
986,46,Middle,Black Market Dealer,29,0,73,0,Unpredictable,18,0,1,0,0
987,42,Middle,Breeder,68,0,65,0,Defensive,2,0,1,0,0
988,50,Middle,Biker,16,0,66,0,Unpredictable,6,0,1,0,0
989,64,Middle,Breeder,50,0,39,0,Unpredictable,7,0,1,0,0
990,49,Low,Underground Battler,97,0,44,0,Defensive,24,0,1,0,0
991,41,Middle,Fisherman,99,0,38,0,Aggressive,4,0,0,1,1
992,34,Middle,Fisherman,87,0,61,0,Defensive,12,0,1,0,0
993,56,Low,Black Market Dealer,76,0,75,0,Unpredictable,9,0,1,0,0
994,21,Middle,Researcher,12,0,71,0,Unpredictable,5,0,1,0,0
995,47,Middle,Fisherman,35,0,46,0,Unpredictable,9,0,1,0,0
996,13,Low,Police Officer,73,0,52,0,Unpredictable,4,0,1,0,0
997,62,Middle,PokéMart Seller,49,0,32,0,Aggressive,1,0,1,0,0
998,11,Low,Casino Worker,33,1,42,0,Aggressive,22,0,0,1,1
999,30,Low,Underground Battler,31,0,54,0,Unpredictable,2,0,1,0,0
1000,12,Low,Daycare Worker,51,0,78,0,Aggressive,1,0,1,0,0
1001,51,Middle,Nurse,59,0,70,0,Unpredictable,2,0,1,0,0
1002,59,High,Rocket Grunt,26,0,30,0,Aggressive,20,0,1,0,0
1003,70,Middle,Rocket Grunt,35,1,87,0,Defensive,9,0,0,1,1
1004,39,Middle,Gym Leader Assistant,40,0,74,0,Aggressive,3,0,1,0,0
1005,51,Middle,Gym Leader Assistant,63,0,46,0,Defensive,6,0,1,0,0
1006,16,Middle,Biker,7,0,68,0,Aggressive,1,0,1,0,0
1007,13,Middle,Biker,72,0,58,0,Defensive,10,0,1,0,0
1008,50,Middle,Rocket Grunt,80,0,23,0,Defensive,18,0,1,0,0
1009,27,Low,Black Market Dealer,35,0,56,0,Unpredictable,4,0,1,0,0
1010,24,High,Underground Battler,17,0,34,0,Defensive,20,0,1,0,0
1011,50,Middle,Elite Trainer,66,0,50,0,Aggressive,16,0,1,0,0
1012,33,Middle,PokéMart Seller,11,0,30,0,Aggressive,21,0,1,0,0
1013,54,Middle,PokéMart Seller,97,0,27,0,Defensive,1,0,1,0,0
1014,30,Low,Elite Trainer,71,0,73,0,Aggressive,24,0,1,0,0
1015,58,Low,Researcher,54,0,69,0,Defensive,7,0,1,0,0
1016,49,Low,Elite Trainer,10,0,56,0,Aggressive,18,0,1,0,0
1017,35,Middle,Black Market Dealer,6,0,51,0,Defensive,3,0,1,0,0
1018,57,Low,PokéMart Seller,17,0,76,0,Unpredictable,4,0,1,0,0
1019,57,High,Underground Battler,29,0,24,0,Unpredictable,2,0,1,0,0
1020,53,High,Researcher,7,0,28,0,Unpredictable,9,0,1,0,0
1021,11,High,Breeder,85,0,30,0,Unpredictable,5,0,1,0,0
1022,20,Middle,Casino Worker,34,1,32,0,Aggressive,12,0,0,1,1
1023,66,Middle,Fisherman,73,0,25,0,Unpredictable,15,0,1,0,0
1024,43,High,Fisherman,13,0,45,0,Unpredictable,9,0,1,0,0
1025,38,Middle,Researcher,73,0,47,0,Unpredictable,3,0,1,0,0
1026,60,Low,Casino Worker,8,0,47,0,Aggressive,17,0,1,0,0
1027,32,Middle,Police Officer,28,0,60,0,Defensive,3,0,1,0,0
1028,68,Middle,Scientist,47,0,34,0,Aggressive,25,0,1,0,0
1029,22,High,Scientist,74,0,37,0,Aggressive,30,0,1,1,1
1030,69,High,Researcher,89,0,85,0,Defensive,18,0,1,0,0
1031,14,Low,Fisherman,52,0,54,0,Aggressive,6,0,0,1,1
1032,41,High,Nurse,85,0,62,0,Unpredictable,11,0,1,0,0
1033,14,Middle,Gym Leader Assistant,13,0,34,0,Unpredictable,23,0,1,0,0
1034,51,Middle,Nurse,87,0,20,0,Aggressive,23,0,1,0,0
1035,50,Middle,Black Market Dealer,30,0,60,0,Aggressive,8,0,1,0,0
1036,15,Middle,PokéMart Seller,41,0,36,0,Unpredictable,2,0,1,0,0
1037,53,Middle,Gym Leader Assistant,32,0,21,0,Unpredictable,22,0,1,0,0
1038,29,Middle,Champion,95,0,35,0,Defensive,14,0,1,0,0
1039,25,Middle,Black Market Dealer,15,0,81,0,Aggressive,8,0,1,0,0
1040,48,Middle,Gym Leader Assistant,80,1,42,0,Aggressive,6,1,0,1,0
1041,56,Low,Biker,22,0,25,0,Aggressive,22,0,1,0,0
1042,46,Middle,Gym Leader Assistant,79,1,53,0,Aggressive,12,1,1,1,1
1043,23,Low,Researcher,56,0,35,0,Unpredictable,9,0,1,0,0
1044,49,Middle,Elite Trainer,5,0,35,0,Unpredictable,18,0,1,1,0
1045,47,Middle,PokéMart Seller,73,0,83,0,Unpredictable,7,0,1,0,0
1046,55,Low,Black Market Dealer,78,0,69,0,Aggressive,29,1,0,1,1
1047,10,Middle,Scientist,39,0,45,0,Unpredictable,4,0,1,0,0
1048,15,Middle,Underground Battler,86,0,69,0,Unpredictable,9,0,1,0,0
1049,50,Low,Underground Battler,16,0,37,0,Defensive,20,0,1,0,0
1050,55,Low,Elite Trainer,7,0,21,0,Unpredictable,22,0,1,0,0
1051,24,Middle,Elite Trainer,19,0,67,0,Aggressive,14,0,1,0,0
1052,50,High,Nurse,11,0,51,0,Aggressive,10,0,1,0,0
1053,46,Middle,Black Market Dealer,25,0,44,0,Defensive,4,0,1,0,0
1054,35,Low,Champion,36,0,66,0,Aggressive,10,0,1,0,0
1055,10,Low,PokéMart Seller,92,0,39,0,Defensive,3,0,1,0,0
1056,50,Low,Nurse,29,0,67,0,Aggressive,25,0,1,0,0
1057,52,Middle,Black Market Dealer,29,0,80,0,Aggressive,15,0,1,0,0
1058,22,Middle,PokéMart Seller,39,0,71,0,Unpredictable,16,0,1,0,0
1059,28,High,Daycare Worker,91,0,58,0,Unpredictable,12,1,0,1,0
1060,13,Low,Champion,32,1,80,1,Aggressive,10,0,0,1,1
1061,45,Middle,Fisherman,63,0,64,0,Defensive,7,0,1,0,0
1062,60,Middle,Underground Battler,89,0,20,0,Aggressive,16,0,1,0,0
1063,20,Low,Biker,97,0,42,0,Aggressive,17,0,1,0,0
1064,48,Low,Champion,92,0,46,0,Aggressive,15,0,1,0,0
1065,63,Low,Gym Leader Assistant,85,0,42,0,Unpredictable,18,0,1,0,0
1066,44,High,Breeder,94,0,75,0,Defensive,12,0,1,0,0
1067,45,Middle,Breeder,5,0,75,0,Aggressive,2,0,1,0,0
1068,32,Middle,Gym Leader Assistant,75,0,58,0,Aggressive,15,1,0,1,1
1069,38,Middle,Gym Leader Assistant,95,0,75,0,Defensive,5,0,1,0,0
1070,29,Middle,Fisherman,32,0,24,0,Defensive,2,0,1,0,0
1071,50,Middle,PokéMart Seller,61,0,89,0,Defensive,25,1,0,1,1
1072,34,Low,Rocket Grunt,57,1,72,0,Aggressive,18,0,1,1,1
1073,15,Middle,Police Officer,29,0,35,0,Unpredictable,11,0,1,0,0
1074,44,Middle,Biker,35,0,43,0,Defensive,4,0,0,1,1
1075,37,Low,Champion,85,0,25,0,Aggressive,23,0,1,0,0
1076,50,Low,Casino Worker,39,0,48,0,Unpredictable,6,0,1,0,0
1077,45,Middle,Black Market Dealer,32,0,32,0,Unpredictable,6,0,1,0,0
1078,46,Middle,Breeder,77,0,25,0,Unpredictable,19,0,1,0,0
1079,22,Middle,Biker,13,0,30,0,Aggressive,10,0,0,1,1
1080,30,Low,PokéMart Seller,99,1,42,0,Defensive,5,1,1,1,0
1081,10,Low,Scientist,10,0,31,0,Defensive,5,0,1,0,0
1082,43,Low,Rocket Grunt,92,0,38,0,Aggressive,9,0,1,0,0
1083,41,Low,Champion,93,0,32,0,Aggressive,12,0,1,0,0
1084,31,Low,Elite Trainer,39,0,61,0,Aggressive,18,0,1,0,0
1085,45,High,Underground Battler,10,0,54,0,Unpredictable,5,0,1,0,0
1086,52,High,Researcher,65,0,26,0,Defensive,0,0,1,0,0
1087,18,Middle,Scientist,38,0,42,0,Defensive,24,0,1,0,0
1088,23,Middle,PokéMart Seller,59,1,57,1,Defensive,14,0,0,1,1
1089,64,High,Fisherman,85,0,29,0,Aggressive,7,0,1,0,0
1090,24,Middle,Casino Worker,72,0,27,0,Unpredictable,12,0,1,0,0
1091,39,High,Scientist,77,0,74,0,Aggressive,0,0,1,0,0
1092,23,Low,Casino Worker,65,0,28,0,Unpredictable,20,0,1,0,0
1093,10,Middle,Police Officer,96,0,66,0,Aggressive,5,0,1,0,0
1094,62,Middle,Researcher,29,0,48,0,Unpredictable,19,0,1,0,0
1095,68,Middle,Scientist,11,0,42,0,Unpredictable,6,0,0,1,1
1096,40,Low,PokéMart Seller,63,0,76,0,Defensive,2,0,1,0,0
1097,43,Low,Casino Worker,67,0,58,0,Aggressive,15,0,1,0,0
1098,62,Low,Underground Battler,50,0,28,0,Defensive,1,0,1,0,0
1099,39,Middle,Underground Battler,78,0,59,0,Unpredictable,22,0,1,0,0
1100,32,High,Biker,79,0,25,0,Defensive,1,0,1,0,0
1101,69,Middle,Scientist,79,0,21,0,Unpredictable,21,0,1,0,0
1102,14,Low,Underground Battler,14,0,43,0,Unpredictable,20,0,1,0,0
1103,22,Middle,Researcher,76,0,43,0,Defensive,5,1,0,1,1
1104,14,High,Gym Leader Assistant,73,0,71,0,Unpredictable,22,0,1,0,0
1105,43,Middle,Black Market Dealer,72,0,72,0,Unpredictable,1,0,1,0,0
1106,14,Low,Elite Trainer,66,0,22,0,Aggressive,6,0,1,0,0
1107,40,Middle,Rocket Grunt,47,0,54,0,Defensive,9,0,1,0,0
1108,68,Low,Champion,46,0,40,0,Unpredictable,20,0,1,0,0
1109,20,High,Nurse,80,0,41,0,Unpredictable,20,0,1,0,0
1110,52,Middle,Elite Trainer,28,1,55,0,Aggressive,9,1,0,1,1
1111,32,Middle,Black Market Dealer,84,0,48,0,Aggressive,6,0,1,0,0
1112,41,Middle,Rocket Grunt,61,0,83,0,Unpredictable,25,0,1,0,0
1113,39,Middle,Underground Battler,70,0,42,0,Aggressive,7,0,1,0,0
1114,23,Middle,Elite Trainer,68,0,36,0,Defensive,13,0,1,0,0
1115,16,Low,Scientist,96,1,68,0,Unpredictable,6,0,1,1,0
1116,55,Low,Breeder,9,0,23,0,Unpredictable,23,0,1,0,0
1117,27,Low,Gym Leader Assistant,51,0,22,0,Defensive,19,0,1,0,0
1118,44,Middle,Rocket Grunt,23,0,63,0,Defensive,19,0,1,0,0
1119,31,Middle,Scientist,19,0,23,0,Unpredictable,24,0,1,0,0
1120,11,Low,Biker,47,0,28,0,Unpredictable,3,0,1,0,0
1121,64,Middle,Casino Worker,28,0,48,0,Defensive,14,0,1,0,0
1122,34,Low,Nurse,53,0,41,0,Unpredictable,24,0,1,0,0
1123,11,Low,Nurse,60,1,83,0,Unpredictable,24,1,1,1,1
1124,68,Middle,Researcher,49,0,77,0,Aggressive,5,0,1,0,0
1125,66,Middle,PokéMart Seller,58,0,28,0,Unpredictable,20,0,1,0,0
1126,51,Middle,Daycare Worker,84,0,61,0,Defensive,21,1,0,1,1
1127,49,Low,Breeder,61,0,60,0,Defensive,15,0,1,0,0
1128,35,Middle,Biker,54,0,77,0,Unpredictable,14,0,1,0,0
1129,53,Middle,Casino Worker,51,0,31,0,Unpredictable,20,0,1,0,0
1130,18,Low,Black Market Dealer,56,0,45,0,Defensive,19,0,1,0,0
1131,55,Middle,Elite Trainer,10,0,68,0,Unpredictable,6,0,1,0,0
1132,50,Low,PokéMart Seller,41,1,30,1,Unpredictable,13,1,0,1,1
1133,53,Middle,Casino Worker,58,0,54,0,Unpredictable,1,0,1,0,0
1134,44,Middle,PokéMart Seller,47,0,36,1,Aggressive,11,1,0,1,1
1135,57,Middle,Elite Trainer,77,0,70,0,Unpredictable,17,0,1,0,0
1136,58,Middle,Daycare Worker,60,0,57,0,Defensive,20,0,1,0,0
1137,53,Low,PokéMart Seller,94,0,60,0,Aggressive,21,0,1,0,0
1138,30,Middle,Daycare Worker,53,1,53,1,Unpredictable,28,1,0,1,0
1139,68,Middle,Gym Leader Assistant,83,0,49,0,Aggressive,6,0,1,0,0
1140,48,Low,Researcher,32,0,67,0,Aggressive,20,0,1,0,0
1141,59,High,Biker,77,0,25,0,Unpredictable,23,0,1,0,0
1142,55,Middle,Biker,35,0,47,0,Aggressive,3,0,1,0,0
1143,39,Low,Underground Battler,99,0,57,0,Defensive,23,0,1,0,0
1144,27,Low,Underground Battler,100,0,26,0,Unpredictable,17,0,1,0,0
1145,57,Middle,Black Market Dealer,17,0,20,0,Unpredictable,1,0,1,0,0
1146,12,Middle,Fisherman,74,0,45,0,Aggressive,24,0,1,0,0
1147,62,High,Nurse,61,1,43,0,Unpredictable,20,0,0,1,1
1148,15,Middle,Biker,43,0,36,0,Aggressive,6,0,1,0,0
1149,10,Low,Black Market Dealer,43,1,57,0,Aggressive,23,0,0,1,1
1150,51,Middle,Underground Battler,70,0,67,0,Defensive,19,0,1,0,0
1151,69,Middle,Breeder,41,1,63,0,Unpredictable,30,0,1,1,1
1152,27,Middle,Rocket Grunt,89,1,61,0,Aggressive,8,0,0,1,1
1153,62,Middle,Researcher,55,0,57,0,Defensive,18,0,1,0,0
1154,66,Middle,Biker,51,0,78,0,Unpredictable,2,0,1,0,0
1155,66,High,PokéMart Seller,98,0,30,0,Aggressive,19,0,1,0,0
1156,20,High,Black Market Dealer,99,0,53,0,Aggressive,9,0,1,0,0
1157,24,Low,Underground Battler,34,1,34,0,Aggressive,30,1,0,1,1
1158,51,Middle,Elite Trainer,10,1,68,1,Defensive,16,1,0,1,0
1159,10,Low,Rocket Grunt,100,0,78,0,Unpredictable,5,0,1,0,0
1160,25,Middle,Casino Worker,54,1,54,0,Aggressive,3,1,1,1,0
1161,59,Middle,Daycare Worker,95,0,37,0,Unpredictable,21,0,1,0,0
1162,11,Low,Nurse,34,0,50,0,Defensive,4,1,0,1,1
1163,48,Low,Elite Trainer,63,0,21,0,Defensive,25,0,1,0,0
1164,32,High,Biker,47,0,22,0,Defensive,4,0,1,0,0
1165,51,High,Nurse,49,1,70,0,Defensive,9,0,0,1,0
1166,30,Low,Nurse,56,1,48,0,Defensive,18,1,0,1,1
1167,58,High,Daycare Worker,16,0,26,0,Aggressive,5,0,1,0,0
1168,17,High,Black Market Dealer,28,1,63,0,Unpredictable,11,1,0,1,1
1169,24,Middle,Casino Worker,46,0,38,0,Aggressive,17,0,1,0,0
1170,23,Low,Biker,6,0,69,0,Defensive,17,0,1,0,0
1171,59,Middle,Black Market Dealer,35,0,45,0,Aggressive,6,0,1,0,0
1172,69,Middle,PokéMart Seller,93,0,22,0,Unpredictable,10,0,1,0,0
1173,39,Low,Black Market Dealer,92,0,50,0,Aggressive,11,0,1,0,0
1174,46,Low,Casino Worker,81,0,65,0,Unpredictable,13,0,1,0,0
1175,59,Middle,Rocket Grunt,49,0,69,0,Aggressive,0,0,1,0,0
1176,37,Low,Rocket Grunt,78,0,44,0,Aggressive,8,1,1,1,1
1177,36,Middle,Police Officer,86,0,58,0,Unpredictable,12,0,1,0,0
1178,11,Low,Nurse,22,0,74,0,Defensive,4,0,1,0,0
1179,30,Middle,Gym Leader Assistant,47,0,75,0,Defensive,1,0,1,0,0
1180,66,Middle,Police Officer,69,0,47,0,Unpredictable,0,0,1,0,0
1181,18,Middle,Researcher,70,0,25,0,Defensive,17,0,1,0,0
1182,70,Low,Elite Trainer,62,0,41,0,Unpredictable,13,0,0,1,1
1183,27,Middle,Casino Worker,96,0,48,1,Unpredictable,26,0,0,1,1
1184,38,Middle,Scientist,42,0,65,0,Aggressive,20,0,1,0,0
1185,68,Middle,Nurse,67,0,41,0,Defensive,16,0,1,0,0
1186,54,Middle,Scientist,39,0,31,0,Unpredictable,0,0,1,0,0
1187,68,High,Elite Trainer,22,0,81,0,Defensive,3,0,1,0,0
1188,61,Middle,Rocket Grunt,35,1,42,0,Unpredictable,19,0,0,1,1
1189,31,Low,Fisherman,62,0,64,0,Defensive,2,0,1,0,0
1190,16,Low,Champion,74,0,50,0,Defensive,15,0,1,0,0
1191,26,Low,PokéMart Seller,66,0,50,0,Unpredictable,1,0,1,0,0
1192,44,Middle,PokéMart Seller,56,0,26,0,Unpredictable,17,0,1,0,0
1193,66,High,Casino Worker,80,0,50,0,Defensive,9,0,1,0,0
1194,52,Middle,PokéMart Seller,76,0,25,0,Defensive,9,0,1,0,0
1195,49,Middle,Gym Leader Assistant,20,1,86,0,Aggressive,13,0,0,1,1
1196,52,Low,Casino Worker,7,0,55,0,Defensive,7,0,1,0,0
1197,53,Low,Daycare Worker,10,1,31,0,Unpredictable,4,0,0,1,1
1198,43,Middle,Rocket Grunt,41,0,36,0,Aggressive,19,0,1,0,0
1199,23,Low,Biker,66,1,66,0,Unpredictable,17,1,0,1,1
1200,41,Low,Breeder,27,0,77,0,Aggressive,4,0,1,0,0
1201,14,Middle,Fisherman,97,0,52,0,Unpredictable,2,0,1,0,0
1202,69,Low,Nurse,52,1,54,0,Defensive,10,1,0,1,1
1203,67,Low,Casino Worker,76,0,62,0,Unpredictable,14,0,1,0,0
1204,57,Low,Casino Worker,69,0,80,0,Unpredictable,12,0,1,0,0
1205,33,Middle,Champion,88,0,71,0,Unpredictable,22,0,1,0,0
1206,56,Low,Police Officer,97,0,33,0,Aggressive,8,0,1,0,0
1207,30,Middle,Casino Worker,16,0,36,0,Aggressive,16,0,1,0,0
1208,62,Low,Underground Battler,90,1,56,0,Unpredictable,29,1,0,1,0
1209,41,Low,Black Market Dealer,41,0,35,0,Defensive,10,0,1,0,0
1210,12,High,Breeder,16,0,51,0,Unpredictable,19,0,0,1,1
1211,61,Middle,Underground Battler,33,1,32,0,Aggressive,24,0,0,1,0
1212,36,Low,Breeder,45,0,20,0,Defensive,13,0,1,0,0
1213,28,Middle,Underground Battler,40,0,23,0,Defensive,23,0,1,0,0
1214,10,Middle,Fisherman,17,0,79,0,Unpredictable,25,0,1,0,0
1215,61,Middle,Gym Leader Assistant,90,0,82,0,Unpredictable,19,0,0,1,1
1216,20,Low,Gym Leader Assistant,31,0,37,0,Defensive,2,0,1,0,0
1217,21,High,Fisherman,10,0,47,0,Unpredictable,20,0,1,0,0
1218,29,Middle,Elite Trainer,50,0,71,0,Defensive,1,0,1,0,0
1219,54,Middle,Scientist,11,0,81,0,Aggressive,23,0,0,1,1
1220,39,Middle,Casino Worker,19,0,80,0,Unpredictable,23,0,1,0,0
1221,49,Middle,Police Officer,12,1,62,0,Unpredictable,26,0,1,1,1
1222,42,Middle,Elite Trainer,9,0,64,0,Unpredictable,12,0,1,0,0
1223,70,Middle,Researcher,68,0,26,0,Defensive,5,0,1,0,0
1224,47,Middle,Researcher,25,0,85,0,Defensive,9,0,1,0,0
1225,61,Middle,Gym Leader Assistant,44,0,69,0,Defensive,22,0,1,0,0
1226,29,Middle,PokéMart Seller,21,0,73,0,Aggressive,25,0,1,0,0
1227,46,Middle,Champion,55,0,38,0,Unpredictable,20,0,1,0,0
1228,25,Middle,Champion,54,0,73,0,Defensive,15,0,1,0,0
1229,23,Low,Gym Leader Assistant,84,0,53,0,Unpredictable,4,0,1,0,0
1230,18,Low,Gym Leader Assistant,57,0,34,0,Unpredictable,11,0,1,0,0
1231,32,Low,Scientist,5,0,64,0,Defensive,13,0,1,0,0
1232,41,Low,Scientist,21,0,33,0,Defensive,18,0,1,0,0
1233,29,Low,Police Officer,24,0,28,0,Unpredictable,9,0,1,0,0
1234,49,Middle,Rocket Grunt,33,0,50,0,Unpredictable,8,0,1,0,0
1235,19,Low,Elite Trainer,99,0,41,0,Aggressive,22,0,1,0,0
1236,16,Low,Daycare Worker,11,0,69,0,Defensive,4,0,1,0,0
1237,20,Middle,Casino Worker,20,0,33,0,Aggressive,13,0,1,0,0
1238,40,Middle,Nurse,47,1,53,0,Unpredictable,11,1,0,1,0
1239,65,Low,Underground Battler,78,0,77,0,Defensive,25,0,1,0,0
1240,15,Middle,Daycare Worker,66,0,26,0,Aggressive,3,0,1,0,0
1241,63,Middle,Casino Worker,76,0,73,0,Unpredictable,2,0,1,0,0
1242,48,Middle,Fisherman,79,0,38,0,Unpredictable,22,0,1,0,0
1243,59,Middle,Black Market Dealer,22,1,51,0,Aggressive,15,1,0,1,1
1244,47,Low,Biker,68,0,73,0,Aggressive,10,0,1,0,0
1245,59,Low,Researcher,30,0,85,0,Aggressive,11,0,1,0,0
1246,25,Middle,Researcher,79,0,64,0,Aggressive,22,0,1,0,0
1247,16,Middle,Breeder,45,0,79,0,Defensive,8,0,1,0,0
1248,54,Middle,PokéMart Seller,98,0,69,0,Aggressive,25,0,1,0,0
1249,22,Middle,Underground Battler,52,1,35,0,Unpredictable,4,1,0,1,0
1250,33,Low,Gym Leader Assistant,41,0,68,0,Defensive,6,0,1,0,0
1251,63,High,Rocket Grunt,97,0,52,0,Aggressive,15,0,1,0,0
1252,15,Middle,Nurse,78,0,61,0,Unpredictable,20,0,1,0,0
1253,64,Low,Researcher,27,0,73,0,Unpredictable,3,0,1,0,0
1254,42,Low,Gym Leader Assistant,7,1,75,0,Defensive,10,1,0,1,1
1255,51,Middle,Fisherman,41,0,28,0,Unpredictable,25,0,1,0,0
1256,11,Low,Daycare Worker,12,0,72,0,Defensive,12,0,1,0,0
1257,18,Middle,Nurse,31,0,43,0,Defensive,3,0,0,1,1
1258,55,Middle,PokéMart Seller,71,1,85,0,Unpredictable,17,1,0,1,1
1259,30,High,Casino Worker,42,0,78,0,Defensive,11,0,1,0,0
1260,26,Low,Daycare Worker,59,1,79,0,Defensive,13,1,0,1,1
1261,29,Low,Underground Battler,100,0,69,0,Aggressive,7,0,1,0,0
1262,31,Middle,Researcher,46,0,27,0,Aggressive,8,0,1,0,0
1263,59,Middle,Underground Battler,15,0,62,0,Defensive,17,0,1,0,0
1264,14,High,Biker,16,0,78,0,Defensive,7,0,1,0,0
1265,26,High,Daycare Worker,27,0,68,0,Aggressive,28,0,0,1,1
1266,47,Low,Scientist,5,0,32,0,Defensive,23,0,1,0,0
1267,45,Middle,Casino Worker,38,0,23,0,Defensive,18,0,1,0,0
1268,49,Low,Police Officer,99,0,21,0,Aggressive,22,0,1,0,0
1269,35,Low,Rocket Grunt,5,0,45,0,Aggressive,8,0,1,0,0
1270,23,Low,Breeder,87,0,38,0,Aggressive,16,0,0,1,1
1271,16,Low,Police Officer,40,0,42,0,Aggressive,1,0,1,0,0
1272,32,Low,Champion,28,0,24,0,Aggressive,16,0,1,0,0
1273,45,Middle,Elite Trainer,44,0,43,0,Unpredictable,1,0,1,0,0
1274,36,High,Fisherman,84,0,76,0,Defensive,6,0,1,0,0
1275,12,Middle,Underground Battler,51,0,80,0,Aggressive,15,0,1,0,0
1276,67,Low,Scientist,50,0,45,0,Aggressive,1,0,1,0,0
1277,27,Middle,Breeder,81,0,83,0,Defensive,6,0,1,1,1
1278,25,Low,Underground Battler,72,0,43,0,Defensive,22,0,1,0,0
1279,52,Low,Scientist,33,0,59,0,Aggressive,17,0,1,0,0
1280,32,Middle,Underground Battler,63,0,41,0,Aggressive,14,0,1,1,1
1281,45,Low,Rocket Grunt,75,0,62,0,Defensive,21,0,1,0,0
1282,13,Middle,Breeder,87,0,61,0,Aggressive,11,0,1,0,0
1283,64,High,Biker,26,0,65,0,Unpredictable,5,0,1,0,0
1284,52,Low,Nurse,53,0,22,0,Defensive,0,0,1,0,0
1285,65,Middle,Black Market Dealer,62,0,41,0,Aggressive,5,0,1,0,0
1286,31,Middle,Breeder,28,0,75,0,Aggressive,16,0,1,0,0
1287,37,Middle,Nurse,66,0,53,0,Defensive,6,0,1,0,0
1288,55,Low,Biker,64,0,37,0,Unpredictable,3,0,1,0,0
1289,40,Middle,Scientist,69,0,23,0,Defensive,18,0,1,0,0
1290,25,High,Elite Trainer,51,1,36,1,Aggressive,21,0,0,1,0
